Pillar,Price
Feb-22,    66.000 
Mar-22,    51.000 
Apr-22,    44.000 
May-22,    42.000 
Jun-22,    41.000 
Jul-22,    41.000 
Aug-22,    41.000 
Sep-22,    41.000 
Oct-22,    42.000 
Nov-22,    43.000 
Dec-22,    45.000 
Jan-23,    40.000 
Feb-23,    42.000 
Mar-23,    39.000 
Apr-23,    35.000 
May-23,    35.000 
Jun-23,    35.000 
Jul-23,    36.000 
Aug-23,    37.000 
Sep-23,    39.000 
Oct-23,    40.000 
Nov-23,    42.000 
Dec-23,    42.000 
Jan-24,    42.000 
Feb-24,    42.000 
Mar-24,    39.000 
Apr-24,    35.000 
May-24,    35.000 
Jun-24,    35.000 
Jul-24,    33.000 
Aug-24,    33.000 
Sep-24,    33.000 
Oct-24,    33.319 
Nov-24,    33.323 
Dec-24,    33.316 
Jan-25,    33.297 
Feb-25,    33.297 
Mar-25,    33.297 
Apr-25,    33.297 
May-25,    33.297 
Jun-25,    33.297 
Jul-25,    33.297 
Aug-25,    33.297 
Sep-25,    33.297 
Oct-25,    33.297 
Nov-25,    33.297 
Dec-25,    33.297 
Jan-26,    33.297 
Feb-26,    33.297 
Mar-26,    33.297 
Apr-26,    33.297 
May-26,    33.297 
Jun-26,    33.297 
Jul-26,    33.297 
Aug-26,    33.297 
Sep-26,    33.297 
Oct-26,    33.297 
Nov-26,    33.297 
Dec-26,    33.297 
Jan-27,    33.297 
Feb-27,    33.297 
Mar-27,    33.297 
Apr-27,    33.297 
May-27,    33.297 
Jun-27,    33.297 
Jul-27,    33.297 
Aug-27,    33.297 
Sep-27,    33.297 
Oct-27,    33.297 
Nov-27,    33.297 
Dec-27,    33.297 
Jan-28,    33.297 
Feb-28,    33.297 
Mar-28,    33.297 
Apr-28,    33.297 
May-28,    33.297 
Jun-28,    33.297 
Jul-28,    33.297 
Aug-28,    33.297 
Sep-28,    33.297 
Oct-28,    33.297 
Nov-28,    33.297 
Dec-28,    33.297 
Jan-29,    33.297 
Feb-29,    33.297 
Mar-29,    33.297 
Apr-29,    33.297 
May-29,    33.297 
Jun-29,    33.297 
Jul-29,    33.297 
Aug-29,    33.297 
Sep-29,    33.297 
Oct-29,    33.297 
Nov-29,    33.297 
Dec-29,    33.297 
Jan-30,    33.297 
Feb-30,    33.297 
Mar-30,    33.297 
Apr-30,    33.297 
May-30,    33.297 
Jun-30,    33.297 
Jul-30,    33.297 
Aug-30,    33.297 
Sep-30,    33.297 
Oct-30,    33.297 
Nov-30,    33.297 
Dec-30,    33.297 
Jan-31,    33.297 
Feb-31,    33.297 
Mar-31,    33.297 
Apr-31,    33.297 
May-31,    33.297 
Jun-31,    33.297 
Jul-31,    33.297 
Aug-31,    33.297 
Sep-31,    33.297 
Oct-31,    33.297 
Nov-31,    33.297 
Dec-31,    33.297 
Jan-32,    33.297 
Feb-32,    33.297 
Mar-32,    33.297 
Apr-32,    33.297 
May-32,    33.297 
Jun-32,    33.297 
Jul-32,    33.297 
Aug-32,    33.297 
Sep-32,    33.297 
Oct-32,    33.297 
Nov-32,    33.297 
Dec-32,    33.297 
Jan-33,    33.297 
Feb-33,    33.297 
Mar-33,    33.297 
Apr-33,    33.297 
May-33,    33.297 
Jun-33,    33.297 
Jul-33,    33.297 
Aug-33,    33.297 
Sep-33,    33.297 
Oct-33,    33.297 
Nov-33,    33.297 
Dec-33,    33.297 
Jan-34,    33.297 
Feb-34,    33.297 
Mar-34,    33.297 
Apr-34,    33.297 
May-34,    33.297 
Jun-34,    33.297 
Jul-34,    33.297 
Aug-34,    33.297 
Sep-34,    33.297 
Oct-34,    33.297 
Nov-34,    33.297 
Dec-34,    33.297 
Jan-35,    33.297 
Feb-35,    33.297 
Mar-35,    33.297 
Apr-35,    33.297 
May-35,    33.297 
Jun-35,    33.297 
Jul-35,    33.297 
Aug-35,    33.297 
Sep-35,    33.297 
Oct-35,    33.297 
Nov-35,    33.297 
Dec-35,    33.297 
Jan-36,    33.297 
Feb-36,    33.297 
Mar-36,    33.297 
Apr-36,    33.297 
May-36,    33.297 
Jun-36,    33.297 
Jul-36,    33.297 
Aug-36,    33.297 
Sep-36,    33.297 
Oct-36,    33.297 
Nov-36,    33.297 
Dec-36,    33.297 
Jan-37,    33.297 
Feb-37,    33.297 
Mar-37,    33.297 
Apr-37,    33.297 
May-37,    33.297 
Jun-37,    33.297 
Jul-37,    33.297 
Aug-37,    33.297 
Sep-37,    33.297 
Oct-37,    33.297 
Nov-37,    33.297 
Dec-37,    33.297 
Jan-38,    33.297 
Feb-38,    33.297 
Mar-38,    33.297 
Apr-38,    33.297 
May-38,    33.297 
Jun-38,    33.297 
Jul-38,    33.297 
Aug-38,    33.297 
Sep-38,    33.297 
Oct-38,    33.297 
Nov-38,    33.297 
Dec-38,    33.297 
Jan-39,    33.297 
Feb-39,    33.297 
Mar-39,    33.297 
Apr-39,    33.297 
May-39,    33.297 
Jun-39,    33.297 
Jul-39,    33.297 
Aug-39,    33.297 
Sep-39,    33.297 
Oct-39,    33.297 
Nov-39,    33.297 
Dec-39,    33.297 
Jan-40,    33.297 
Feb-40,    33.297 
Mar-40,    33.297 
Apr-40,    33.297 
May-40,    33.297 
Jun-40,    33.297 
Jul-40,    33.297 
Aug-40,    33.297 
Sep-40,    33.297 
Oct-40,    33.297 
Nov-40,    33.297 
Dec-40,    33.297 
